season,game_id,game_date,season_phase,game_time_et,matchup_key,player_id,player,team_abbr,opponent_abbr,is_home,starter,position,minutes,points,rebounds,assists,three_made,three_attempts,turnovers,steals,blocks,oreb,dreb,personal_fouls,fgm,fga,ftm,fta,plus_minus,team_score,opponent_score,PTS,REB,AST,THREES,PRA,PA,PR,RA,source
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,4066585,Crystal Dangerfield,DAL,IND,True,False,G,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-5,79,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,4432865,Jacy Sheldon,DAL,IND,True,False,G,13.0,6,1,2,2,2,3,0,0,0,1,3,2,2,0,0,+3,79,76,6.0,1.0,2.0,2.0,9.0,8.0,7.0,3.0,espn_site_api
2024,401653060,2024-05-03,preseason,2024-05-03T20:00-04:00,DAL-IND,5209660,Sevgi Uzun,DAL,IND,True,False,G,19.0,2,5,3,0,2,0,0,0,0,5,3,0,2,2,2,+13,79,76,2.0,5.0,3.0,0.0,10.0,5.0,7.0,8.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,2529183,Stefanie Dolson,WSH,ATL,False,True,C,13.0,2,3,1,0,1,1,0,1,0,3,0,1,2,0,0,-7,84,87,2.0,3.0,1.0,0.0,6.0,3.0,5.0,4.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,4398911,Shakira Austin,WSH,ATL,False,True,C,10.0,8,0,1,0,1,0,1,1,0,0,1,3,7,2,3,+5,84,87,8.0,0.0,1.0,0.0,9.0,9.0,8.0,1.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,2988756,Brittney Sykes,WSH,ATL,False,True,G,10.0,6,3,2,0,2,0,1,0,1,2,1,1,5,4,4,-1,84,87,6.0,3.0,2.0,0.0,11.0,8.0,9.0,5.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,3056730,Karlie Samuelson,WSH,ATL,False,True,G,17.0,8,0,0,2,6,0,0,0,0,0,2,3,8,0,0,-5,84,87,8.0,0.0,0.0,2.0,8.0,8.0,8.0,0.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,3146151,Ariel Atkins,WSH,ATL,False,True,G,15.0,10,2,3,2,6,1,2,0,2,0,2,3,9,2,2,+1,84,87,10.0,2.0,3.0,2.0,15.0,13.0,12.0,5.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,3142055,Myisha Hines-Allen,WSH,ATL,False,False,F,15.0,13,4,0,1,3,0,0,0,3,1,1,4,7,4,4,-10,84,87,13.0,4.0,0.0,1.0,17.0,13.0,17.0,4.0,espn_site_api
2024,401653631,2024-05-04,preseason,2024-05-04T13:00-04:00,ATL-WSH,4398729,Emily Engstler,WSH,ATL,False,False,F,15.0,3,2,5,0,0,1,1,2,1,1,0,1,3,1,2,0,84,87,3.0,2.0,5.0,0.0,10.0,8.0,5.0,7.0,espn_site_api
