"game_date","player","player_id","team","opponent","is_home","market","line","over_odds","under_odds","sportsbook_count","game_total","spread","line_last_updated","source_book","source_url","source_note","backfill_rank","backfill_priority_score","pregame_projection","pregame_projected_minutes","pregame_sample_size","recent_games","fill_priority_note"
"2026-07-06","Gabby Williams","3142328","GS","WAS","0","THREES","1.5","-130","-104","5","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
"2026-07-06","Georgia Amoore","","WAS","GS","1","AST","4.5","-106","-125","1","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: FanDuel","","","","","","",""
"2026-07-06","Georgia Amoore","","WAS","GS","1","PTS","6.5","-110","-120","3","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars","","","","","","",""
"2026-07-06","Janelle Salaun","4790264","GS","WAS","0","PTS","9.5","-130","-101","5","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
"2026-07-06","Janelle Salaun","4790264","GS","WAS","0","REB","3.5","112","-152","5","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
"2026-07-06","Janelle Salaun","4790264","GS","WAS","0","THREES","1.5","-157","117","5","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
"2026-07-06","Kaila Charles","4065780","GS","WAS","0","PTS","6.5","-102","-128","1","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: FanDuel","","","","","","",""
"2026-07-06","Kayla McBride","2529205","MIN","CON","1","AST","3.5","125","-175","3","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: FanDuel, Caesars, Hard Rock","","","","","","",""
"2026-07-06","Kayla McBride","2529205","MIN","CON","1","PTS","17.5","-118","-110","2","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: FanDuel, Caesars","","","","","","",""
"2026-07-06","Kayla McBride","2529205","MIN","CON","1","REB","3.5","134","-186","4","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
"2026-07-06","Kayla McBride","2529205","MIN","CON","1","THREES","2.5","-108","-123","4","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
"2026-07-06","Kayla Thornton","2529622","GS","WAS","0","PTS","8.5","-116","-112","4","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, theScore","","","","","","",""
"2026-07-06","Kayla Thornton","2529622","GS","WAS","0","REB","4.5","-152","111","5","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
"2026-07-06","Kayla Thornton","2529622","GS","WAS","0","THREES","1.5","-102","-135","5","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
"2026-07-06","Kiki Iriafen","","WAS","GS","1","PTS","15.5","-102","-130","5","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, Hard Rock, theScore","","","","","","",""
"2026-07-06","Kiki Iriafen","","WAS","GS","1","REB","9.5","106","-145","4","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: DraftKings, FanDuel, Caesars, Hard Rock","","","","","","",""
"2026-07-06","Leila Lacan","5208981","CON","MIN","0","AST","3.5","-170","124","3","","","2026-07-06T22:56:37Z","RotoWire","https://www.rotowire.com/betting/wnba/player-props.php","RotoWire current WNBA multi-book player props snapshot: FanDuel, Caesars, Hard Rock","","","","","","",""
