game_date,player,player_id,team_abbr,opponent_abbr,market,line,over_odds,under_odds,sportsbook_count,source_projection,source_book,source_market,source_url,source_event_id,line_last_updated
2026-05-08,Awa Fam,,,,AST,1.5,-125,100,2,0.0,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905840,2026-05-08T23:27:20Z
2026-05-08,Dominique Malonga,5220150,SEA,GS,AST,1.5,-105,-120,2,1.52,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905840,2026-05-08T23:27:20Z
2026-05-08,Aneesah Morrow,4684384,CON,NY,AST,1.5,100,-125,2,1.36,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905880,2026-05-08T23:27:20Z
2026-05-08,Kia Nurse,3142327,TOR,WSH,AST,1.5,102,-130,2,1.63,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905650,2026-05-08T23:27:20Z
2026-05-08,Brittney Griner,2490553,CON,NY,AST,1.5,110,-140,2,1.89,ScoresAndOdds Best Odds,AST,https://www.scoresandodds.com/wnba/props/assists,11905880,2026-05-08T23:27:20Z
2026-05-08,Natisha Hiedeman,3906753,SEA,GS,THREES,1.5,-180,140,2,2.3,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905840,2026-05-08T23:27:20Z
2026-05-08,Satou Sabally,4281929,PHX,LV,THREES,1.5,-175,135,2,0.0,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905880,2026-05-08T23:27:20Z
2026-05-08,Marine Johannes,4038379,NY,CON,THREES,1.5,-150,120,2,1.78,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905880,2026-05-08T23:27:20Z
2026-05-08,Kayla Thornton,2529622,GS,SEA,THREES,1.5,-121,100,2,1.26,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905840,2026-05-08T23:27:20Z
2026-05-08,Ezi Magbegor,4420318,SEA,GS,THREES,0.5,200,-270,2,0.0,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905840,2026-05-08T23:27:20Z
2026-05-08,Sabrina Ionescu,4066533,NY,CON,THREES,2.5,120,-150,2,0.0,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905880,2026-05-08T23:27:20Z
2026-05-08,Sonia Citron,4433524,WSH,TOR,THREES,1.5,-165,140,2,1.82,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905650,2026-05-08T23:27:20Z
2026-05-08,Marina Mabrey,3904576,CON,NY,THREES,1.5,-174,140,2,1.77,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905650,2026-05-08T23:27:20Z
2026-05-08,Kia Nurse,3142327,TOR,WSH,THREES,1.5,-135,105,2,1.56,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905650,2026-05-08T23:27:20Z
2026-05-08,Jonquel Jones,2999101,NY,CON,THREES,1.5,-114,-105,2,1.47,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905880,2026-05-08T23:27:20Z
2026-05-08,Kennedy Burke,3922628,CON,NY,THREES,1.5,-112,-112,2,1.41,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905880,2026-05-08T23:27:20Z
2026-05-08,Georgia Amoore,4704180,WSH,TOR,THREES,1.5,102,105,2,2.14,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905650,2026-05-08T23:27:20Z
2026-05-08,Janelle Salaun,4790264,GS,SEA,THREES,1.5,100,-125,2,1.42,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905840,2026-05-08T23:27:20Z
2026-05-08,Saniya Rivers,4433514,CON,NY,THREES,1.5,105,-125,2,2.22,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905880,2026-05-08T23:27:20Z
2026-05-08,Veronica Burton,4398935,GS,SEA,THREES,1.5,125,-145,2,1.29,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905840,2026-05-08T23:27:20Z
2026-05-08,Betnijah Laney-Hamilton,2593770,NY,CON,THREES,1.5,150,-166,2,1.39,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905880,2026-05-08T23:27:20Z
2026-05-08,Flau'jae Johnson,4698736,SEA,GS,THREES,1.5,135,-150,2,1.56,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905840,2026-05-08T23:27:20Z
2026-05-08,Tiffany Hayes,1054,GS,SEA,THREES,1.5,140,-170,2,1.36,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905840,2026-05-08T23:27:20Z
2026-05-08,Breanna Stewart,2998928,NY,CON,THREES,1.5,154,-165,2,1.61,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905880,2026-05-08T23:27:20Z
2026-05-08,Jade Melbourne,5017726,SEA,GS,THREES,0.5,-220,170,2,1.1,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905840,2026-05-08T23:27:20Z
2026-05-08,Julie Allemand,4001679,TOR,WSH,THREES,0.5,-210,160,2,0.69,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905650,2026-05-08T23:27:20Z
2026-05-08,Aneesah Morrow,4684384,CON,NY,THREES,0.5,-200,155,2,0.65,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905880,2026-05-08T23:27:20Z
2026-05-08,Brittney Sykes,2988756,TOR,WSH,THREES,0.5,-188,150,2,0.59,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905650,2026-05-08T23:27:20Z
2026-05-08,Temi Fagbenle,2569044,TOR,WSH,THREES,0.5,-145,115,2,0.58,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905650,2026-05-08T23:27:20Z
2026-05-08,Awa Fam,,,,THREES,0.5,-125,100,2,0.0,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905840,2026-05-08T23:27:20Z
2026-05-08,Dominique Malonga,5220150,SEA,GS,THREES,0.5,135,-165,2,0.51,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905840,2026-05-08T23:27:20Z
2026-05-08,Brittney Griner,2490553,CON,NY,THREES,0.5,180,-210,2,0.1,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905880,2026-05-08T23:27:20Z
2026-05-08,Kiki Iriafen,4898384,WSH,TOR,THREES,0.5,210,-260,2,0.23,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905650,2026-05-08T23:27:20Z
2026-05-08,Shakira Austin,4398911,WSH,TOR,THREES,0.5,300,-425,2,0.15,ScoresAndOdds Best Odds,THREES,https://www.scoresandodds.com/wnba/props/3-pointers,11905650,2026-05-08T23:27:20Z
