selected_rank,candidate_id,slate_date,player,team,opponent,matchup_key,game_time_et,market,side,line,sportsbook_count,projected_value,line_gap,abs_line_gap,wf_confidence,meta_prob_correct,projected_minutes,minutes_volatility,starter_rate_last10,lineup_status,availability_status,rotation_rank,minutes_trend,data_completeness_score,stake_level,team_recent_win_pct,opponent_recent_win_pct,market_synergy_boost,market_synergy_drag,estimated_accuracy_prior_pct,tier,model_action,base_score,context_score,context_adjustment,correlation_penalty,final_score,risk_flags,context_flags,premium_pockets
,de96a8c62226494f173e,2026-05-09,Isaiah Hartenstein,OKC,LAL,OKC@LAL,"May 9, 8:30 PM",REB,OVER,8.5,9,9.62,1.12,1.12,0.761293,0.612375,25.89,4.89,,EXPECTED,,7,5.43,100,PLAYOFF_HIGH_LEVERAGE,1,0,4.86,0,,C,COVERAGE,0.709115,0.61835,0,0.025,0.684115,recent_form_mismatch,recent_form_mismatch,
,fbee479a26e083189f85,2026-05-09,Tobias Harris,DET,CLE,DET@CLE,"May 9, 3:00 PM",PTS,UNDER,18,11,16.65,-1.35,1.35,0.668597,0.552749,36.86,4.81,,CONFIRMED,,2,2.77,100,PLAYOFF_HIGH_LEVERAGE,1,0,0,0,,C,COVERAGE,0.708732,0.56,0,0.076,0.632732,minutes_trend_against_side; recent_form_mismatch,minutes_trend_against_side; recent_form_mismatch,
,ad56b4230ff9aafb1fb1,2026-05-09,Luguentz Dort,OKC,LAL,OKC@LAL,"May 9, 8:30 PM",PA,UNDER,7.5,7,8.19,0.69,0.69,0.783852,0.735974,25.72,2.54,,EXPECTED,,5,2.7,100,PLAYOFF_HIGH_LEVERAGE,1,0,0,7.68,,C,COVERAGE,0.70873,0.61,0,0.025,0.68373,projection_side_split; minutes_trend_against_side; recent_form_mismatch,minutes_trend_against_side; recent_form_mismatch,
,e23f3021746a57969565,2026-05-09,Tobias Harris,DET,CLE,DET@CLE,"May 9, 3:00 PM",PRA,OVER,26.5,10,24.74,-1.76,1.76,0.605281,0.548517,36.86,4.81,,CONFIRMED,,2,2.77,100,PLAYOFF_HIGH_LEVERAGE,1,0,8.39,0,,C,COVERAGE,0.707676,0.645,0,0.2,0.507676,projection_side_split; recent_form_mismatch,recent_form_mismatch,
,6cfc4435ee4a7e1ff5e5,2026-05-09,Jalen Duren,DET,CLE,DET@CLE,"May 9, 3:00 PM",PA,UNDER,16.5,9,15.35,-1.15,1.15,0.689977,0.583321,33.73,4.17,,CONFIRMED,,4,4.25,100,PLAYOFF_HIGH_LEVERAGE,1,0,16.43,0,,C,COVERAGE,0.706077,0.525,0,0.07,0.636077,minutes_trend_against_side; teammate_synergy_against_side; recent_form_mismatch,minutes_trend_against_side; teammate_synergy_against_side; recent_form_mismatch,
,7bb5bd4d85ac419b7900,2026-05-09,Jalen Duren,DET,CLE,DET@CLE,"May 9, 3:00 PM",PTS,UNDER,14.5,11,12.98,-1.52,1.52,0.62376,0.556384,33.73,4.17,,CONFIRMED,,4,4.25,100,PLAYOFF_HIGH_LEVERAGE,1,0,0,0,,C,COVERAGE,0.705254,0.56,0,0.076,0.629254,minutes_trend_against_side; recent_form_mismatch,minutes_trend_against_side; recent_form_mismatch,
,70baf495ad00ed432194,2026-05-09,Jalen Duren,DET,CLE,DET@CLE,"May 9, 3:00 PM",PRA,OVER,27.5,10,25.98,-1.52,1.52,0.622951,0.555971,33.73,4.17,,CONFIRMED,,4,4.25,100,PLAYOFF_HIGH_LEVERAGE,1,0,0,0,,C,COVERAGE,0.70505,0.61,0,0.2,0.50505,projection_side_split; recent_form_mismatch,recent_form_mismatch,
,e58613fed4a5e8a3ec21,2026-05-09,Evan Mobley,CLE,DET,DET@CLE,"May 9, 3:00 PM",THREES,OVER,0.5,6,1,0.5,0.5,0.744674,0.73246,34.79,4.84,,CONFIRMED,,3,0.06,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,,C,COVERAGE,0.704919,0.585,0,0.025,0.679919,auxiliary_side_sample_risk; recent_form_mismatch,recent_form_mismatch,
,0935130746126c1cb6b2,2026-05-09,Marcus Smart,LAL,OKC,OKC@LAL,"May 9, 8:30 PM",PR,OVER,14.5,9,15.39,0.89,0.89,0.725868,0.571227,34.13,5.76,,EXPECTED,,5,1.58,100,PLAYOFF_HIGH_LEVERAGE,0,1,8.98,0,,C,COVERAGE,0.704361,0.625,0,0.07,0.634361,recent_form_mismatch,recent_form_mismatch,
,eb200efdd2e9bdb131fa,2026-05-09,Jaylon Tyson,CLE,DET,DET@CLE,"May 9, 3:00 PM",PR,OVER,11.5,8,9.82,-1.68,1.68,0.818033,0.70484,17.07,4.24,,CONFIRMED,,9,1.95,100,PLAYOFF_HIGH_LEVERAGE,0,1,0,0,,C,COVERAGE,0.702507,0.55,-0.025,0.025,0.677507,low_projected_minutes; projection_side_split; recent_form_mismatch; high_stakes_bench_role,recent_form_mismatch; high_stakes_bench_role,
