playerName,team,games,points,rebounds,assists,threes,pointsPerGame,reboundsPerGame,assistsPerGame,threesPerGame
Tristan Da Silva,ORL,57,548.1,254.60000000000002,104.5,116.5,9.62,4.47,1.83,2.04
Ausar Thompson,DET,57,547.1999999999998,346.79999999999995,187.10000000000002,9,9.6,6.08,3.28,0.16
Egor Demin,BKN,52,537.3999999999999,221.90000000000003,210.00000000000003,158.80000000000004,10.33,4.27,4.04,3.05
Royce O'Neale,PHX,62,535.0999999999998,303.0999999999999,185.7,175.4000000000001,8.63,4.89,3,2.83
Bub Carrington,WAS,61,531.4999999999999,246.4,279.5,133.1,8.71,4.04,4.58,2.18
Isaiah Joe,OKC,54,531.4,145.10000000000002,97.1,149.69999999999993,9.84,2.69,1.8,2.77
Neemias Queta,BOS,58,529.4000000000001,471.6999999999998,99.50000000000004,0,9.13,8.13,1.72,0
Jay Huff,IND,63,529.3999999999999,264.59999999999997,91.80000000000001,103.3,8.4,4.2,1.46,1.64
Rui Hachimura,LAL,52,524.2000000000003,178.10000000000002,43.1,102.29999999999998,10.08,3.43,0.83,1.97
Jrue Holiday,POR,34,521.8000000000001,190.9,235.20000000000002,88.3,15.35,5.61,6.92,2.6
Jake LaRavia,LAL,63,520.6000000000001,247.8,120.49999999999996,67.69999999999999,8.26,3.93,1.91,1.07
Ajay Mitchell,OKC,44,514.1,144.99999999999997,156.70000000000005,51.70000000000001,11.68,3.3,3.56,1.18
Kyle Filipowski,UTA,59,513.6000000000001,353.20000000000005,137.3,52.4,8.71,5.99,2.33,0.89
Isaiah Stewart,DET,52,512,273.6,67.80000000000001,49.300000000000004,9.85,5.26,1.3,0.95
Day'Ron Sharpe,BKN,59,507.9999999999999,398.2,179.9,7.9,8.61,6.75,3.05,0.13
Harrison Barnes,SAS,63,503.59999999999985,158.1,139.20000000000002,97.09999999999998,7.99,2.51,2.21,1.54
Sam Hauser,BOS,57,496,235.1,108.00000000000001,167.8,8.7,4.12,1.89,2.94
Cason Wallace,OKC,61,491.69999999999993,208.00000000000003,175.29999999999998,104.3,8.06,3.41,2.87,1.71
Sam Merrill,CLE,37,491.50000000000006,109.7,99.00000000000001,149.49999999999994,13.28,2.96,2.68,4.04
Josh Hart,NYK,48,484.00000000000006,347.2000000000001,227.60000000000005,56.9,10.08,7.23,4.74,1.19
Pelle Larsson,MIA,53,484.00000000000006,165.6,185.2,59.900000000000006,9.13,3.12,3.49,1.13
Isaiah Collier,UTA,50,482.70000000000005,138.39999999999998,309.8,22.599999999999998,9.65,2.77,6.2,0.45
Aaron Nesmith,IND,36,480.1000000000001,175.00000000000006,94.50000000000001,105.60000000000002,13.34,4.86,2.63,2.93
Ziaire Williams,BKN,43,477.79999999999995,146.10000000000002,50.400000000000006,104.7,11.11,3.4,1.17,2.43
Jordan Goodwin,PHX,57,476,268.2,143.49999999999997,99.79999999999998,8.35,4.71,2.52,1.75
Vít Krejčí,ATL,59,475.90000000000003,136.50000000000003,105.80000000000001,134.1,8.07,2.31,1.79,2.27
Tre Jones,CHI,47,475.60000000000014,140.90000000000003,259.7,18.9,10.12,3,5.53,0.4
Jalen Suggs,ORL,35,474.4,153,204.60000000000002,85.99999999999999,13.55,4.37,5.85,2.46
Precious Achiuwa,MIA,55,469.1000000000001,342.4000000000001,71.70000000000002,24.700000000000003,8.53,6.23,1.3,0.45
Jalen Smith,CHI,51,469.0000000000001,316.7,74.39999999999999,99.3,9.2,6.21,1.46,1.95
Jordan Poole,NOP,34,466.90000000000003,86.9,123.4,97.29999999999998,13.73,2.56,3.63,2.86
Zaccharie Risacher,ATL,50,463.2000000000002,197.00000000000003,85.9,82.6,9.26,3.94,1.72,1.65
Marvin Bagley III,WAS,48,462.4,313.70000000000005,79.69999999999997,12.5,9.63,6.54,1.66,0.26
Dylan Harper,SAS,51,462.3000000000001,151.2,162.20000000000002,35.400000000000006,9.06,2.96,3.18,0.69
Coby White,CHI,31,459.5,100.1,129.2,66.8,14.82,3.23,4.17,2.15
Caleb Love,POR,49,455.80000000000007,117.19999999999997,129,92.90000000000002,9.3,2.39,2.63,1.9
Simone Fontecchio,MIA,57,451.3999999999999,200.89999999999998,80.99999999999999,111.99999999999999,7.92,3.52,1.42,1.96
Gary Trent Jr.,MIL,53,448.80000000000007,59.99999999999999,83.30000000000001,128.50000000000006,8.47,1.13,1.57,2.42
Ron Holland II,DET,57,442.6000000000001,287.5,111.6,44.2,7.76,5.04,1.96,0.78
