date,rule,cardSize,playerTabPicksOnDay,usedLegsOnDay,unusedLegsOnDay,cardIndex,card_hit,eligibleLegsOnDay,legA_correct,legA_line,legA_market,legA_player,legA_score,legA_side,legA_team,legB_correct,legB_line,legB_market,legB_player,legB_score,legB_side,legB_team,legC_correct,legC_line,legC_market,legC_player,legC_score,legC_side,legC_team,legD_correct,legD_line,legD_market,legD_player,legD_score,legD_side,legD_team,legE_correct,legE_line,legE_market,legE_player,legE_score,legE_side,legE_team,legF_correct,legF_line,legF_market,legF_player,legF_score,legF_side,legF_team
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,17,True,114,True,4.5,REB,Jaylon Tyson,0.88202,UNDER,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,18,True,114,True,24.5,PA,Cam Spencer,0.881494,UNDER,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,19,True,114,True,38.5,PA,Nikola Jokić,0.878517,UNDER,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,20,True,114,True,16.5,PR,Payton Pritchard,0.876845,OVER,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,21,True,114,True,6.5,RA,Jarace Walker,0.876484,UNDER,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,22,True,114,True,20.5,PTS,Derrick White,0.871276,UNDER,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,23,True,114,True,19.5,PRA,Jake LaRavia,0.869052,OVER,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,24,True,114,True,14.5,PRA,Nikola Vučević,0.868851,OVER,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,25,True,114,True,29.5,PRA,RJ Barrett,0.864707,UNDER,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,26,True,114,True,17.5,PA,Toumani Camara,0.863502,UNDER,POR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,27,True,114,True,37.5,PRA,Jaylen Brown,0.862995,OVER,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,28,True,114,True,10.5,PRA,Patrick Williams,0.861613,OVER,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,29,True,114,True,10.5,PA,Zaccharie Risacher,0.860639,OVER,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,30,True,114,True,12.5,PRA,Isaac Okoro,0.860097,UNDER,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,31,True,114,True,42.5,PR,Luka Dončić,0.857271,OVER,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,32,True,114,True,8.5,PTS,Ben Sheppard,0.854301,UNDER,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,33,True,114,True,9.5,PA,Isaiah Jackson,0.853359,OVER,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,34,True,114,True,6.5,REB,Josh Hart,0.850343,UNDER,NYK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,35,True,114,True,15.5,PA,Kris Dunn,0.846628,UNDER,LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,36,True,114,True,13.5,PRA,Mouhamed Gueye,0.846237,UNDER,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,37,True,114,True,22.5,PTS,Zion Williamson,0.843468,OVER,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,38,True,114,True,16.5,PRA,Herbert Jones,0.842996,OVER,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,39,True,114,True,31.5,PA,Jamal Murray,0.839018,UNDER,DEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,40,False,114,False,19.5,PA,Matas Buzelis,0.837533,OVER,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,41,True,114,True,9.5,PR,Quentin Grimes,0.836635,OVER,PHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,42,True,114,True,10.5,RA,Santi Aldama,0.836205,OVER,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-10-31,player_tab_best_market_singles_90_v1,1,114,114,0,43,True,114,True,16.5,PR,Tre Jones,0.835675,UNDER,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
