date,rule,selectedLegsOnDay,comboIndex,legA_rank,legA_player,legA_team,legA_market,legA_side,legA_line,legA_correct,legB_rank,legB_player,legB_team,legB_market,legB_side,legB_line,legB_correct,legC_rank,legC_player,legC_team,legC_market,legC_side,legC_line,legC_correct,combo_hit
2026-01-20,daily_top6_under_else_top3_triplets_v1,4,4,3,Scottie Barnes,TOR,REB,UNDER,9.5,True,5,Bam Adebayo,MIA,REB,UNDER,11.5,True,6,Kris Dunn,LAC,THREES,UNDER,0.5,True,True
2026-01-21,daily_top6_under_else_top3_triplets_v1,3,1,1,Jalen Johnson,ATL,PTS,OVER,22.5,True,2,Derik Queen,NOP,RA,OVER,7.5,True,3,Cam Spencer,MEM,AST,UNDER,3.75,False,False
2026-01-22,daily_top6_under_else_top3_triplets_v1,5,1,1,Anthony Black,ORL,PRA,UNDER,15.5,True,2,Brice Sensabaugh,UTA,PTS,UNDER,15.5,True,3,Kawhi Leonard,LAC,PTS,UNDER,24.5,True,True
2026-01-22,daily_top6_under_else_top3_triplets_v1,5,2,1,Anthony Black,ORL,PRA,UNDER,15.5,True,2,Brice Sensabaugh,UTA,PTS,UNDER,15.5,True,4,Amen Thompson,HOU,REB,UNDER,7.5,True,True
2026-01-22,daily_top6_under_else_top3_triplets_v1,5,3,1,Anthony Black,ORL,PRA,UNDER,15.5,True,2,Brice Sensabaugh,UTA,PTS,UNDER,15.5,True,5,Gui Santos,GSW,REB,UNDER,4.5,True,True
2026-01-22,daily_top6_under_else_top3_triplets_v1,5,4,1,Anthony Black,ORL,PRA,UNDER,15.5,True,3,Kawhi Leonard,LAC,PTS,UNDER,24.5,True,4,Amen Thompson,HOU,REB,UNDER,7.5,True,True
2026-01-22,daily_top6_under_else_top3_triplets_v1,5,5,1,Anthony Black,ORL,PRA,UNDER,15.5,True,3,Kawhi Leonard,LAC,PTS,UNDER,24.5,True,5,Gui Santos,GSW,REB,UNDER,4.5,True,True
2026-01-22,daily_top6_under_else_top3_triplets_v1,5,6,1,Anthony Black,ORL,PRA,UNDER,15.5,True,4,Amen Thompson,HOU,REB,UNDER,7.5,True,5,Gui Santos,GSW,REB,UNDER,4.5,True,True
2026-01-22,daily_top6_under_else_top3_triplets_v1,5,7,2,Brice Sensabaugh,UTA,PTS,UNDER,15.5,True,3,Kawhi Leonard,LAC,PTS,UNDER,24.5,True,4,Amen Thompson,HOU,REB,UNDER,7.5,True,True
2026-01-22,daily_top6_under_else_top3_triplets_v1,5,8,2,Brice Sensabaugh,UTA,PTS,UNDER,15.5,True,3,Kawhi Leonard,LAC,PTS,UNDER,24.5,True,5,Gui Santos,GSW,REB,UNDER,4.5,True,True
2026-01-22,daily_top6_under_else_top3_triplets_v1,5,9,2,Brice Sensabaugh,UTA,PTS,UNDER,15.5,True,4,Amen Thompson,HOU,REB,UNDER,7.5,True,5,Gui Santos,GSW,REB,UNDER,4.5,True,True
2026-01-22,daily_top6_under_else_top3_triplets_v1,5,10,3,Kawhi Leonard,LAC,PTS,UNDER,24.5,True,4,Amen Thompson,HOU,REB,UNDER,7.5,True,5,Gui Santos,GSW,REB,UNDER,4.5,True,True
2026-01-23,daily_top6_under_else_top3_triplets_v1,3,1,2,Scottie Barnes,TOR,PTS,UNDER,19.5,True,3,Russell Westbrook,SAC,PRA,UNDER,27.5,True,6,Derik Queen,NOP,REB,UNDER,6.5,False,False
2026-01-24,daily_top6_under_else_top3_triplets_v1,3,1,2,Jake LaRavia,LAL,PRA,UNDER,21.0,True,3,Jalen Suggs,ORL,PTS,UNDER,12.5,True,4,Neemias Queta,BOS,REB,UNDER,6.0,True,True
2026-01-25,daily_top6_under_else_top3_triplets_v1,3,1,1,Scottie Barnes,TOR,PTS,UNDER,16.5,True,2,Russell Westbrook,SAC,PRA,UNDER,24.5,True,4,Collin Gillespie,PHX,AST,UNDER,6.5,True,True
2026-01-26,daily_top6_under_else_top3_triplets_v1,3,1,1,Tyrese Maxey,PHI,PTS,UNDER,31.5,True,2,Jake LaRavia,LAL,PRA,OVER,11.5,True,3,Kevin Durant,HOU,PTS,OVER,24.5,True,True
2026-01-27,daily_top6_under_else_top3_triplets_v1,4,1,2,Deni Avdija,POR,PRA,UNDER,40.5,True,3,Grayson Allen,PHX,PTS,UNDER,20.5,True,4,Shai Gilgeous-Alexander,OKC,AST,UNDER,7.5,True,True
2026-01-27,daily_top6_under_else_top3_triplets_v1,4,2,2,Deni Avdija,POR,PRA,UNDER,40.5,True,3,Grayson Allen,PHX,PTS,UNDER,20.5,True,5,Jalen Brunson,NYK,AST,UNDER,6.5,True,True
2026-01-27,daily_top6_under_else_top3_triplets_v1,4,3,2,Deni Avdija,POR,PRA,UNDER,40.5,True,4,Shai Gilgeous-Alexander,OKC,AST,UNDER,7.5,True,5,Jalen Brunson,NYK,AST,UNDER,6.5,True,True
2026-01-27,daily_top6_under_else_top3_triplets_v1,4,4,3,Grayson Allen,PHX,PTS,UNDER,20.5,True,4,Shai Gilgeous-Alexander,OKC,AST,UNDER,7.5,True,5,Jalen Brunson,NYK,AST,UNDER,6.5,True,True
2026-01-28,daily_top6_under_else_top3_triplets_v1,4,1,1,Julian Champagnie,SAS,PTS,UNDER,9.5,True,2,RJ Barrett,TOR,PTS,UNDER,14.5,True,4,Kyle Filipowski,UTA,REB,UNDER,4.5,True,True
2026-01-28,daily_top6_under_else_top3_triplets_v1,4,2,1,Julian Champagnie,SAS,PTS,UNDER,9.5,True,2,RJ Barrett,TOR,PTS,UNDER,14.5,True,6,Kon Knueppel,CHA,THREES,UNDER,3.5,True,True
2026-01-28,daily_top6_under_else_top3_triplets_v1,4,3,1,Julian Champagnie,SAS,PTS,UNDER,9.5,True,4,Kyle Filipowski,UTA,REB,UNDER,4.5,True,6,Kon Knueppel,CHA,THREES,UNDER,3.5,True,True
2026-01-28,daily_top6_under_else_top3_triplets_v1,4,4,2,RJ Barrett,TOR,PTS,UNDER,14.5,True,4,Kyle Filipowski,UTA,REB,UNDER,4.5,True,6,Kon Knueppel,CHA,THREES,UNDER,3.5,True,True
2026-01-29,daily_top6_under_else_top3_triplets_v1,3,1,1,Grayson Allen,PHX,PTS,OVER,18.5,True,2,Ryan Rollins,MIL,AST,OVER,7.5,True,3,Luguentz Dort,OKC,PRA,UNDER,13.5,True,True
2026-01-30,daily_top6_under_else_top3_triplets_v1,3,1,1,Payton Pritchard,BOS,PTS,OVER,21.5,True,2,Nikola Jokić,DEN,AST,UNDER,7.5,True,3,Grayson Allen,PHX,PRA,UNDER,25.5,True,True
2026-01-31,daily_top6_under_else_top3_triplets_v1,4,1,3,Jeremiah Fears,NOP,PRA,UNDER,22.5,True,4,Cam Spencer,MEM,AST,UNDER,5.5,True,5,P.J. Washington,DAL,REB,UNDER,5.5,True,True
2026-01-31,daily_top6_under_else_top3_triplets_v1,4,2,3,Jeremiah Fears,NOP,PRA,UNDER,22.5,True,4,Cam Spencer,MEM,AST,UNDER,5.5,True,6,Kon Knueppel,CHA,REB,UNDER,4.5,False,False
