playerName,PTS_samples,PTS_acc,PTS_holdout,PTS_hit80,REB_samples,REB_acc,REB_holdout,REB_hit80,AST_samples,AST_acc,AST_holdout,AST_hit80,THREES_samples,THREES_acc,THREES_holdout,THREES_hit80,PRA_samples,PRA_acc,PRA_holdout,PRA_hit80,PA_samples,PA_acc,PA_holdout,PA_hit80,PR_samples,PR_acc,PR_holdout,PR_hit80,RA_samples,RA_acc,RA_holdout,RA_hit80
GG Jackson,27,92.59,66.67,true,27,100,44.44,true,27,92.59,22.22,true,6,100,,true,22,95.45,100,true,22,95.45,71.43,true,22,95.45,57.14,true,22,95.45,42.86,true
Giannis Antetokounmpo,30,83.33,66.67,true,30,90,55.56,true,30,93.33,33.33,true,27,92.59,66.67,true,12,100,75,true,12,100,100,true,12,100,75,true,12,91.67,50,true
Gradey Dick,22,81.82,14.29,true,22,95.45,57.14,true,21,90.48,28.57,true,3,100,,true,10,100,100,true,10,90,66.67,true,10,80,0,true,10,90,33.33,true
Grant Williams,18,94.44,0,true,18,83.33,66.67,true,16,93.75,60,true,5,80,,true,11,100,25,true,11,100,75,true,11,100,0,true,11,100,0,true
Grayson Allen,39,100,75,true,39,89.74,66.67,true,39,92.31,75,true,36,94.44,72.73,true,21,100,42.86,true,21,100,14.29,true,21,100,42.86,true,21,100,42.86,true
Guerschon Yabusele,12,100,25,true,12,100,50,true,11,100,0,true,11,100,75,true,9,100,66.67,true,9,100,66.67,true,9,100,33.33,true,9,100,33.33,true
Gui Santos,22,95.45,71.43,true,22,90.91,28.57,true,21,85.71,42.86,true,18,83.33,66.67,true,11,100,50,true,11,100,100,true,11,90.91,75,true,11,100,75,true
Harrison Barnes,60,90,50,true,60,90,38.89,true,59,84.75,44.44,true,48,91.67,33.33,true,34,100,45.45,true,34,91.18,36.36,true,34,91.18,63.64,true,34,85.29,54.55,true
Hugo González,11,100,75,true,10,90,66.67,true,10,100,33.33,true,2,100,,true,4,100,,true,4,100,,true,6,100,,true,4,100,,true
Hunter Tyson,2,100,,true,2,100,,true,1,100,,true,1,100,,true,1,100,,true,1,100,,true,1,100,,true,1,100,,true
Isaiah Joe,44,90.91,57.14,true,44,84.09,42.86,true,43,88.37,38.46,true,19,100,33.33,true,29,93.1,66.67,true,29,93.1,55.56,true,29,96.55,44.44,true,29,93.1,66.67,true
Isaiah Stewart,48,91.67,60,true,48,85.42,46.67,true,47,91.49,40,true,37,89.19,41.67,true,29,86.21,55.56,true,29,93.1,55.56,true,29,93.1,66.67,true,28,100,66.67,true
Ja Morant,18,100,50,true,18,94.44,33.33,true,18,100,66.67,true,15,86.67,20,true,4,100,,true,4,100,,true,4,100,,true,4,100,,true
Ja'Kobe Walter,31,100,40,true,31,96.77,40,true,28,89.29,44.44,true,11,90.91,50,true,15,100,40,true,14,100,80,true,15,100,40,true,15,100,40,true
Jabari Walker,3,100,,true,2,100,,true,3,100,,true,1,100,,true,2,100,,true,2,100,,true,2,100,,true,2,100,,true
Jaden Hardy,12,100,100,true,12,100,75,true,12,100,25,true,5,100,,true,7,100,,true,7,100,,true,7,100,,true,7,100,,true
Jaden Ivey,24,91.67,100,true,24,91.67,25,true,23,86.96,42.86,true,12,100,25,true,12,91.67,100,true,12,100,100,true,12,100,50,true,12,100,75,true
Jake LaRavia,55,90.91,64.71,true,55,90.91,41.18,true,55,87.27,41.18,true,44,84.09,50,true,29,96.55,55.56,true,29,93.1,55.56,true,29,86.21,44.44,true,29,89.66,33.33,true
Jalen Green,14,100,40,true,14,92.86,60,true,14,100,60,true,14,100,60,true,7,100,,true,7,100,,true,7,100,,true,7,100,,true
Jalen Pickett,18,94.44,33.33,true,18,100,33.33,true,17,88.24,50,true,15,93.33,80,true,11,100,100,true,11,100,25,true,11,100,0,true,10,100,33.33,true
Jalen Williams,25,92,62.5,true,25,100,37.5,true,24,91.67,37.5,true,23,95.65,42.86,true,7,100,,true,7,100,,true,7,100,,true,7,100,,true
Jamal Shead,57,85.96,44.44,true,57,91.23,44.44,true,57,85.96,33.33,true,29,89.66,44.44,true,36,94.44,63.64,true,36,91.67,54.55,true,34,91.18,45.45,true,36,91.67,54.55,true
James Harden,54,90.74,52.94,true,54,90.74,47.06,true,54,85.19,52.94,true,50,88,40,true,30,90,44.44,true,29,86.21,66.67,true,29,93.1,44.44,true,30,93.33,55.56,true
