date,selectedRank,modelAction,tier,playerName,teamCode,gameKey,market,side,line,actualValue,actualSide,correct,projectedValue,lineGap,absLineGap,wfConfidence,metaProbCorrect,projectedMinutes,minutesVolatility,starterRateLast10,expectedMinutes,minutesLiftPct,lineupTimingConfidence,completenessScore,openingTeamSpread,openingTotal,missingCoreShare,stepUpRoleFlag,estimatedAccuracyPriorPct,baseScore,contextScore,contextAdjustment,correlationPenalty,finalScore,rejectionReason,components,riskFlags,contextFlags,contextNotes
2025-11-04,4,SELECTED,A,Desmond Bane,ORL,0022500166,PRA,UNDER,28.5,14.0,UNDER,True,21.8,-6.7,6.7,0.979655,0.75,27.25,6.51,,27.25,-0.1184,,68.0,-2.5,229.5,0.0,False,90.16,0.902856,0.495,0.0,0.0,0.902856,,live_quality_router_v9;top200_accuracy_first;top200_primary,thin_context_completeness,thin_context_completeness,minutes_lift_supports_under;competitive_spread
2025-11-04,5,SELECTED,A,Isaiah Hartenstein,OKC,0022500170,REB,UNDER,8.5,7.0,UNDER,True,10.78,2.28,2.28,0.959657,0.75,27.11,6.67,,27.11,0.0222,,67.0,-3.5,223.5,0.0,False,90.71,0.887463,0.465,0.0,0.006,0.881463,,live_quality_router_v9;top200_accuracy_first;top200_coverage_frontier;top200_primary,projection_side_split;thin_context_completeness,thin_context_completeness,competitive_spread
2025-11-04,6,SELECTED,A,Devin Booker,PHX,0022500169,AST,UNDER,7.0,4.0,UNDER,True,8.26,1.26,1.26,0.952091,0.75,33.33,6.0,,33.33,-0.0916,,68.0,10.5,231.5,0.0,False,91.06,0.885948,0.42,0.0,0.006,0.879948,,live_quality_router_v9;top200_accuracy_first;top200_coverage_frontier;top200_recent_form_fade;top200_primary,projection_side_split;thin_context_completeness;blowout_spread_risk,thin_context_completeness;blowout_spread_risk,minutes_lift_supports_under
2025-11-05,1,SELECTED,S,Alex Sarr,WAS,0022500174,PTS,OVER,15.5,31.0,OVER,True,15.1,-0.4,0.4,0.93962,0.75,24.94,5.23,1.0,24.94,-0.08,,72.0,13.0,232.5,0.0,False,94.8,0.849738,0.468,0.0,0.0,0.849738,,live_quality_router_v9;top200_premium_90;top200_accuracy_first;top200_primary,projection_side_split;blowout_spread_risk,blowout_spread_risk,high_total_supports_counting_over
2025-11-05,2,SELECTED,S,Pelle Larsson,MIA,0022500178,AST,OVER,2.5,3.0,OVER,True,2.0,-0.5,0.5,0.974534,0.75,18.0,9.13,,18.0,0.2056,,64.0,9.0,241.5,0.0,False,94.8,0.847123,0.355,0.0,0.0,0.847123,,live_quality_router_v9;top200_premium_90;top200_accuracy_first;top200_primary,low_projected_minutes;projection_side_split;thin_context_completeness;volatile_minutes;blowout_spread_risk,thin_context_completeness;volatile_minutes;blowout_spread_risk,minutes_lift_supports_over
2025-11-05,3,SELECTED,S,Jalen Duren,DET,0022500172,PTS,OVER,16.5,22.0,OVER,True,16.19,-0.31,0.31,0.948667,0.75,24.73,8.81,0.0,24.73,-0.0938,,66.0,-10.5,233.5,0.0,False,94.8,0.848617,0.343,0.0,0.006,0.842617,,live_quality_router_v9;top200_premium_90;top200_accuracy_first;top200_primary,projection_side_split;thin_context_completeness;volatile_minutes;blowout_spread_risk,thin_context_completeness;volatile_minutes;blowout_spread_risk,high_total_supports_counting_over
2025-11-05,4,SELECTED,S,Klay Thompson,DAL,0022500177,AST,OVER,1.5,3.0,OVER,True,1.24,-0.26,0.26,0.872473,0.75,19.35,2.68,,19.35,-0.2804,,74.0,-8.5,226.0,0.0,False,94.25,0.811962,0.5,0.0,0.006,0.805962,,live_quality_router_v9;top200_premium_90;top200_primary,low_projected_minutes;projection_side_split;minutes_lift_against_side,minutes_lift_against_side,stable_minutes
2025-11-05,5,SELECTED,A,Mikal Bridges,NYK,0022500175,PRA,UNDER,28.5,19.0,UNDER,True,24.34,-4.16,4.16,0.969863,0.75,32.31,6.54,,32.31,-0.123,1.0,68.0,-3.5,228.5,0.0,False,90.16,0.909527,0.53,0.0,0.0,0.909527,,live_quality_router_v9;top200_accuracy_first;top200_primary,thin_context_completeness,thin_context_completeness,strong_lineup_timing;minutes_lift_supports_under;competitive_spread
2025-11-05,6,SELECTED,A,VJ Edgecombe,PHI,0022500171,REB,UNDER,4.5,4.0,UNDER,True,5.79,1.29,1.29,0.966029,0.75,35.97,5.33,,35.97,0.0,,69.0,12.0,235.0,0.0,False,91.06,0.885373,0.39,0.0,0.0,0.885373,,live_quality_router_v9;top200_accuracy_first;top200_coverage_frontier;top200_recent_form_fade;top200_primary,projection_side_split;thin_context_completeness;blowout_spread_risk,thin_context_completeness;blowout_spread_risk,
2025-11-06,1,SELECTED,S,Ryan Dunn,PHX,0022500182,AST,OVER,1.5,3.0,OVER,True,0.94,-0.56,0.56,0.772778,0.791493,24.14,5.04,,24.14,0.1992,,70.0,4.5,227.5,0.0,False,93.7,0.803169,0.555,0.0,0.0,0.803169,,live_quality_router_v9;top200_premium_90,projection_side_split,,minutes_lift_supports_over;competitive_spread
